check,status,detail
ABae-stratified-confirmed B=10 s=4 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ABae-stratified-confirmed B=20 s=0 oracle order,PASS,calls=20
ABae-stratified-confirmed B=20 s=0 calls <= budget,PASS,calls=20 budget=20
ABae-stratified-confirmed B=20 s=0 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=0 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=17
ABae-stratified-confirmed B=20 s=0 K0_naive_merge confirmed anchor,PASS,segments=1
ABae-stratified-confirmed B=20 s=0 K0_naive_merge no NaN,PASS,segments=1
ABae-stratified-confirmed B=20 s=0 K0_naive_merge nonnegative duration,PASS,segments=1
ABae-stratified-confirmed B=20 s=0 K1_gap_limited confirmed anchor,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 K1_gap_limited no NaN,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 K1_gap_limited nonnegative duration,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 K2_gap_duration confirmed anchor,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 K2_gap_duration no NaN,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 K2_gap_duration nonnegative duration,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=0 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 K3_gap_duration_negative_barrier no NaN,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=0 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=17
ABae-stratified-confirmed B=20 s=0 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=3
ABae-stratified-confirmed B=20 s=0 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=0 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=17
ABae-stratified-confirmed B=20 s=0 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ABae-stratified-confirmed B=20 s=1 oracle order,PASS,calls=20
ABae-stratified-confirmed B=20 s=1 calls <= budget,PASS,calls=20 budget=20
ABae-stratified-confirmed B=20 s=1 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=1 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=13
ABae-stratified-confirmed B=20 s=1 K0_naive_merge confirmed anchor,PASS,segments=1
ABae-stratified-confirmed B=20 s=1 K0_naive_merge no NaN,PASS,segments=1
ABae-stratified-confirmed B=20 s=1 K0_naive_merge nonnegative duration,PASS,segments=1
ABae-stratified-confirmed B=20 s=1 K1_gap_limited confirmed anchor,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 K1_gap_limited no NaN,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 K1_gap_limited nonnegative duration,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 K2_gap_duration confirmed anchor,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 K2_gap_duration no NaN,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 K2_gap_duration nonnegative duration,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=1 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 K3_gap_duration_negative_barrier no NaN,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=1 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=13
ABae-stratified-confirmed B=20 s=1 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=6
ABae-stratified-confirmed B=20 s=1 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=1 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=13
ABae-stratified-confirmed B=20 s=1 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ABae-stratified-confirmed B=20 s=2 oracle order,PASS,calls=20
ABae-stratified-confirmed B=20 s=2 calls <= budget,PASS,calls=20 budget=20
ABae-stratified-confirmed B=20 s=2 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=2 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=10
ABae-stratified-confirmed B=20 s=2 K0_naive_merge confirmed anchor,PASS,segments=1
ABae-stratified-confirmed B=20 s=2 K0_naive_merge no NaN,PASS,segments=1
ABae-stratified-confirmed B=20 s=2 K0_naive_merge nonnegative duration,PASS,segments=1
ABae-stratified-confirmed B=20 s=2 K1_gap_limited confirmed anchor,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 K1_gap_limited no NaN,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 K1_gap_limited nonnegative duration,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 K2_gap_duration confirmed anchor,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 K2_gap_duration no NaN,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 K2_gap_duration nonnegative duration,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=2 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 K3_gap_duration_negative_barrier no NaN,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=2 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=10
ABae-stratified-confirmed B=20 s=2 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=7
ABae-stratified-confirmed B=20 s=2 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=2 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=10
ABae-stratified-confirmed B=20 s=2 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ABae-stratified-confirmed B=20 s=3 oracle order,PASS,calls=20
ABae-stratified-confirmed B=20 s=3 calls <= budget,PASS,calls=20 budget=20
ABae-stratified-confirmed B=20 s=3 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=3 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=15
ABae-stratified-confirmed B=20 s=3 K0_naive_merge confirmed anchor,PASS,segments=1
ABae-stratified-confirmed B=20 s=3 K0_naive_merge no NaN,PASS,segments=1
ABae-stratified-confirmed B=20 s=3 K0_naive_merge nonnegative duration,PASS,segments=1
ABae-stratified-confirmed B=20 s=3 K1_gap_limited confirmed anchor,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 K1_gap_limited no NaN,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 K1_gap_limited nonnegative duration,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 K2_gap_duration confirmed anchor,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 K2_gap_duration no NaN,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 K2_gap_duration nonnegative duration,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=3 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 K3_gap_duration_negative_barrier no NaN,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=3 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=15
ABae-stratified-confirmed B=20 s=3 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=5
ABae-stratified-confirmed B=20 s=3 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=3 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=15
ABae-stratified-confirmed B=20 s=3 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ABae-stratified-confirmed B=20 s=4 oracle order,PASS,calls=20
ABae-stratified-confirmed B=20 s=4 calls <= budget,PASS,calls=20 budget=20
ABae-stratified-confirmed B=20 s=4 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=6
ABae-stratified-confirmed B=20 s=4 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=6
ABae-stratified-confirmed B=20 s=4 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=6
ABae-stratified-confirmed B=20 s=4 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=4 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=12
ABae-stratified-confirmed B=20 s=4 K0_naive_merge confirmed anchor,PASS,segments=1
ABae-stratified-confirmed B=20 s=4 K0_naive_merge no NaN,PASS,segments=1
ABae-stratified-confirmed B=20 s=4 K0_naive_merge nonnegative duration,PASS,segments=1
ABae-stratified-confirmed B=20 s=4 K1_gap_limited confirmed anchor,PASS,segments=4
ABae-stratified-confirmed B=20 s=4 K1_gap_limited no NaN,PASS,segments=4
ABae-stratified-confirmed B=20 s=4 K1_gap_limited nonnegative duration,PASS,segments=4
ABae-stratified-confirmed B=20 s=4 K2_gap_duration confirmed anchor,PASS,segments=6
ABae-stratified-confirmed B=20 s=4 K2_gap_duration no NaN,PASS,segments=6
ABae-stratified-confirmed B=20 s=4 K2_gap_duration nonnegative duration,PASS,segments=6
ABae-stratified-confirmed B=20 s=4 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=4 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=6
ABae-stratified-confirmed B=20 s=4 K3_gap_duration_negative_barrier no NaN,PASS,segments=6
ABae-stratified-confirmed B=20 s=4 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=6
ABae-stratified-confirmed B=20 s=4 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=4 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=12
ABae-stratified-confirmed B=20 s=4 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=6
ABae-stratified-confirmed B=20 s=4 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=6
ABae-stratified-confirmed B=20 s=4 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=6
ABae-stratified-confirmed B=20 s=4 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=20 s=4 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=12
ABae-stratified-confirmed B=20 s=4 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ABae-stratified-confirmed B=50 s=0 oracle order,PASS,calls=50
ABae-stratified-confirmed B=50 s=0 calls <= budget,PASS,calls=50 budget=50
ABae-stratified-confirmed B=50 s=0 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=12
ABae-stratified-confirmed B=50 s=0 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=12
ABae-stratified-confirmed B=50 s=0 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=12
ABae-stratified-confirmed B=50 s=0 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=50 s=0 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=31
ABae-stratified-confirmed B=50 s=0 K0_naive_merge confirmed anchor,PASS,segments=1
ABae-stratified-confirmed B=50 s=0 K0_naive_merge no NaN,PASS,segments=1
ABae-stratified-confirmed B=50 s=0 K0_naive_merge nonnegative duration,PASS,segments=1
ABae-stratified-confirmed B=50 s=0 K1_gap_limited confirmed anchor,PASS,segments=10
ABae-stratified-confirmed B=50 s=0 K1_gap_limited no NaN,PASS,segments=10
ABae-stratified-confirmed B=50 s=0 K1_gap_limited nonnegative duration,PASS,segments=10
ABae-stratified-confirmed B=50 s=0 K2_gap_duration confirmed anchor,PASS,segments=12
ABae-stratified-confirmed B=50 s=0 K2_gap_duration no NaN,PASS,segments=12
ABae-stratified-confirmed B=50 s=0 K2_gap_duration nonnegative duration,PASS,segments=12
ABae-stratified-confirmed B=50 s=0 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=50 s=0 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=12
ABae-stratified-confirmed B=50 s=0 K3_gap_duration_negative_barrier no NaN,PASS,segments=12
ABae-stratified-confirmed B=50 s=0 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=12
ABae-stratified-confirmed B=50 s=0 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=50 s=0 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=31
ABae-stratified-confirmed B=50 s=0 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=12
ABae-stratified-confirmed B=50 s=0 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=12
ABae-stratified-confirmed B=50 s=0 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=12
ABae-stratified-confirmed B=50 s=0 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=50 s=0 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=31
ABae-stratified-confirmed B=50 s=0 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ABae-stratified-confirmed B=50 s=1 oracle order,PASS,calls=50
ABae-stratified-confirmed B=50 s=1 calls <= budget,PASS,calls=50 budget=50
ABae-stratified-confirmed B=50 s=1 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=15
ABae-stratified-confirmed B=50 s=1 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=15
ABae-stratified-confirmed B=50 s=1 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=15
ABae-stratified-confirmed B=50 s=1 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=50 s=1 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=30
ABae-stratified-confirmed B=50 s=1 K0_naive_merge confirmed anchor,PASS,segments=1
ABae-stratified-confirmed B=50 s=1 K0_naive_merge no NaN,PASS,segments=1
ABae-stratified-confirmed B=50 s=1 K0_naive_merge nonnegative duration,PASS,segments=1
ABae-stratified-confirmed B=50 s=1 K1_gap_limited confirmed anchor,PASS,segments=12
ABae-stratified-confirmed B=50 s=1 K1_gap_limited no NaN,PASS,segments=12
ABae-stratified-confirmed B=50 s=1 K1_gap_limited nonnegative duration,PASS,segments=12
ABae-stratified-confirmed B=50 s=1 K2_gap_duration confirmed anchor,PASS,segments=14
ABae-stratified-confirmed B=50 s=1 K2_gap_duration no NaN,PASS,segments=14
ABae-stratified-confirmed B=50 s=1 K2_gap_duration nonnegative duration,PASS,segments=14
ABae-stratified-confirmed B=50 s=1 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=50 s=1 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=15
ABae-stratified-confirmed B=50 s=1 K3_gap_duration_negative_barrier no NaN,PASS,segments=15
ABae-stratified-confirmed B=50 s=1 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=15
ABae-stratified-confirmed B=50 s=1 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=50 s=1 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=30
ABae-stratified-confirmed B=50 s=1 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=15
ABae-stratified-confirmed B=50 s=1 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=15
ABae-stratified-confirmed B=50 s=1 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=15
ABae-stratified-confirmed B=50 s=1 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=50 s=1 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=30
ABae-stratified-confirmed B=50 s=1 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ABae-stratified-confirmed B=50 s=2 oracle order,PASS,calls=50
ABae-stratified-confirmed B=50 s=2 calls <= budget,PASS,calls=50 budget=50
